school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
1564,janata vala vikasa,avi,jhapa,
1566,ramauji,pravi,taplejung,
1567,vishamkhunarayana,pravi,lalitpur,
1569,,avi,chitwan,
1570,rashtiya,avi,parsa,
1571,sa.njhapura,pravi,bajhang,
1573,ghusela,nimavi,lalitpur,
1574,jhamgalakota,pravi,lalitpur,
1575,dhoti da.nda,pravi,doti,
1577,sharada,nimavi,gulmi,
1581,shri,mavi,chitwan,
1586,kirtapura,avi,myagdi,
1587,chitavana,mavi,bhaktapur,
1593,durga,pravi,bajhang,
1594,durgalakshmi,mavi,kailali,
1595,kulamashtajana,mavi,bajhang,
1596,bhadrakumari ra,avi,chitwan,
1597,gadyauli,mavi,chitwan,
1599,balamandira,pravi,bajhang,
1600,satya,mavi,bajhang,
1601,patikochaura,pravi,lalitpur,
1602,patlechapa,pravi,lalitpur,
1604,aishvarya,pravi,bajhang,
1605,navaratna,pravi,bajhang,
1606,ichcha kamana ra,pravi,chitwan,
1607,shri ramanagara,mavi,bhaktapur,
1611,bhadagau.n,pravi,gulmi,
1612,rashtriya,avi,chitwan,
1613,bararusha,nimavi,gulmi,
1614,narayana,nimavi,lalitpur,
1615,durgeshvari,pravi,bajhang,
1616,rashtriya,avi,chitwan,
1617,shri malapura,mavi,chitwan,
1620,sajapura,avi,gulmi,
1622,ra,pravi,bara,
1623,balaseva,pravi,kailali,
1624,janakalyana,nimavi,kailali,
1625,pa~ncha kumari,avi,lalitpur,
1627,,avi,kalikot,
1628,vagishvari,mavi,bhaktapur,
1630,lalitavikasa,nimavi,lalitpur,
1631,adarshasaula vumgamati,,darchula,
1632,shramajita kishora,mavi,lalitpur,
1636,someshvara,mavi,chitwan,
1637,bagehiti mai,avi,bhaktapur,
1638,lakshmi devi,pravi,bhaktapur,
1639,lakshminarayana,pravi,gulmi,
1640,jakhadimai,avi,bhaktapur,
1641,dedhagau.n,mavi,nawalparasi,
1646,adarsha,mavi,gulmi,
1647,bamvateri,pravi,gulmi,
1648,bala chetana,avi,bhaktapur,
1650,ramapokhari,pravi,gulmi,
1651,ra,pravi,chitwan,
1655,rashtriya,avi,mahottari,
1657,ra,pravi,chitwan,
1660,bala kalyana,avi,kathmandu,
1661,ra,pravi,chitwan,
1663,riyale,nimavi,gulmi,
1664,ammara,nimavi,bajhang,
1665,purnachandrodaya,pravi,bajhang,
1667,vidha~nchala,pravi,kailali,
1673,riyale,pravi,gulmi,
1675,sarvahita,pravi,gulmi,
