school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
5170,1326,balabatika,bal balika,pravi,pravi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
5171,16575,siham devi,siddha devi,pravi,pravi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
5177,63552,surya,surya,pravi,pravi,jajarkot,jajarkot,3.0,"District: complete, School level: complete, Root name: complete"
5182,32931,jivana jyoti,janjyoti,pravi,pravi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
5185,16685,shiksha jyoti,sikshya jyoti,pravi,pravi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
5190,34880,pa~ncha kanya,panchakanya,mavi,mavi,nuwakot,nuwakot,3.0,"District: complete, School level: complete, Root name: complete"
5191,74650,yuvavarsha,yuva varsh,mavi,mavi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5195,6321,bhairava,bhairab,mavi,mavi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
5196,71425,latinatha,hatinath,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5198,16697,simle,simle,pravi,pravi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5199,12260,jalapa,jalpa,pravi,pravi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
5202,51984,jana jagrriti,jana jagriti,avi,avi,arghakhanchi,arghakhanchi,3.0,"District: complete, School level: complete, Root name: complete"
5208,61580,malika,kalika,pravi,pravi,jajarkot,jajarkot,3.0,"District: complete, School level: complete, Root name: complete"
5214,72568,malikarjuna,malika arjun,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5223,53617,manakamana,manakamana,mavi,mavi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
5232,11620,ganesha,ganesh,avi,avi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
5235,6374,bhanubhakta,bhanubhakta,pravi,pravi,jajarkot,jajarkot,3.0,"District: complete, School level: complete, Root name: complete"
5240,11909,hatti pokhari,hatti pokhari,pravi,pravi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
5241,11000,buddhi vikasa,buddhi bikash,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
5250,61471,jvala,jwala,mavi,mavi,dailekh,dailekh,3.0,"District: complete, School level: complete, Root name: complete"
5254,62023,mashta,masta,pravi,pravi,jajarkot,jajarkot,3.0,"District: complete, School level: complete, Root name: complete"
5255,62023,mashta,masta,pravi,pravi,jajarkot,jajarkot,3.0,"District: complete, School level: complete, Root name: complete"
5258,16705,simha setidevi,singh seti devi,avi,avi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
5259,13104,kamchanajamgha,kanchanjangha,pravi,pravi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5261,11133,cheskama,cheskam,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
